"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 21:30:26 GMT 2021","Wed Sep 01 21:30:27 GMT 2021","1015","","","","","","turn off light",""
"passed","Wed Sep 01 21:30:25 GMT 2021","Wed Sep 01 21:30:25 GMT 2021","347","","","","","","set light brightness",""
"failed","Wed Sep 01 21:30:33 GMT 2021","Wed Sep 01 21:30:53 GMT 2021","20606","","","","","","tracker",""
"passed","Wed Sep 01 21:30:26 GMT 2021","Wed Sep 01 21:30:26 GMT 2021","344","","","","","","decrease light brightness",""
"passed","Wed Sep 01 21:30:23 GMT 2021","Wed Sep 01 21:30:25 GMT 2021","2022","","","","","","turn on light",""
"passed","Wed Sep 01 21:30:16 GMT 2021","Wed Sep 01 21:30:23 GMT 2021","6855","","","","","","turn off switch",""
"passed","Wed Sep 01 21:30:14 GMT 2021","Wed Sep 01 21:30:15 GMT 2021","388","","","","","","turn on switch",""
"passed","Wed Sep 01 21:30:15 GMT 2021","Wed Sep 01 21:30:15 GMT 2021","342","","","","","","toggle off switch",""
"passed","Wed Sep 01 21:30:27 GMT 2021","Wed Sep 01 21:30:33 GMT 2021","5610","","","","","","triger automation",""
"passed","Wed Sep 01 21:30:15 GMT 2021","Wed Sep 01 21:30:16 GMT 2021","687","","","","","","toggle on switch",""
"passed","Wed Sep 01 21:30:09 GMT 2021","Wed Sep 01 21:30:14 GMT 2021","5284","","","","","","read sensor",""
"passed","Wed Sep 01 21:30:54 GMT 2021","Wed Sep 01 21:30:54 GMT 2021","328","","","","","","add item",""
"passed","Wed Sep 01 21:30:53 GMT 2021","Wed Sep 01 21:30:54 GMT 2021","339","","","","","","set climate temperature",""
"passed","Wed Sep 01 21:30:25 GMT 2021","Wed Sep 01 21:30:26 GMT 2021","705","","","","","","increase light brightness",""
