"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 20:07:50 GMT 2021","Wed Sep 01 20:07:51 GMT 2021","1019","","","","","","turn off switch",""
"passed","Wed Sep 01 20:07:50 GMT 2021","Wed Sep 01 20:07:50 GMT 2021","338","","","","","","toggle on switch",""
"passed","Wed Sep 01 20:07:44 GMT 2021","Wed Sep 01 20:07:49 GMT 2021","4941","","","","","","read sensor",""
"passed","Wed Sep 01 20:08:00 GMT 2021","Wed Sep 01 20:08:00 GMT 2021","419","","","","","","increase light brightness",""
"passed","Wed Sep 01 20:07:51 GMT 2021","Wed Sep 01 20:07:59 GMT 2021","7656","","","","","","turn on light",""
"passed","Wed Sep 01 20:07:59 GMT 2021","Wed Sep 01 20:08:00 GMT 2021","669","","","","","","set light brightness",""
"passed","Wed Sep 01 20:08:12 GMT 2021","Wed Sep 01 20:08:12 GMT 2021","350","","","","","","set climate temperature",""
"passed","Wed Sep 01 20:07:50 GMT 2021","Wed Sep 01 20:07:50 GMT 2021","352","","","","","","toggle off switch",""
"passed","Wed Sep 01 20:08:00 GMT 2021","Wed Sep 01 20:08:01 GMT 2021","713","","","","","","turn off light",""
"passed","Wed Sep 01 20:08:00 GMT 2021","Wed Sep 01 20:08:00 GMT 2021","351","","","","","","decrease light brightness",""
"passed","Wed Sep 01 20:08:12 GMT 2021","Wed Sep 01 20:08:13 GMT 2021","333","","","","","","add item",""
"passed","Wed Sep 01 20:07:49 GMT 2021","Wed Sep 01 20:07:50 GMT 2021","400","","","","","","turn on switch",""
"passed","Wed Sep 01 20:08:01 GMT 2021","Wed Sep 01 20:08:01 GMT 2021","348","","","","","","triger automation",""
"passed","Wed Sep 01 20:08:01 GMT 2021","Wed Sep 01 20:08:12 GMT 2021","10685","","","","","","tracker",""
