"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 03 19:20:52 UTC 2020","Thu Sep 03 19:20:55 UTC 2020","3831","","","","","","read sensor",""
"passed","Thu Sep 03 19:21:22 UTC 2020","Thu Sep 03 19:21:23 UTC 2020","1308","","","","","","set climate temperature",""
"passed","Thu Sep 03 19:20:59 UTC 2020","Thu Sep 03 19:21:00 UTC 2020","1282","","","","","","toggle off switch",""
"passed","Thu Sep 03 19:21:19 UTC 2020","Thu Sep 03 19:21:21 UTC 2020","1288","","","","","","tracker",""
"passed","Thu Sep 03 19:21:01 UTC 2020","Thu Sep 03 19:21:02 UTC 2020","1262","","","","","","toggle on switch",""
"passed","Thu Sep 03 19:21:06 UTC 2020","Thu Sep 03 19:21:07 UTC 2020","1294","","","","","","turn on light",""
"passed","Thu Sep 03 19:21:08 UTC 2020","Thu Sep 03 19:21:09 UTC 2020","1315","","","","","","set light brightness",""
"passed","Thu Sep 03 19:21:17 UTC 2020","Thu Sep 03 19:21:18 UTC 2020","1363","","","","","","triger automation",""
"passed","Thu Sep 03 19:21:10 UTC 2020","Thu Sep 03 19:21:11 UTC 2020","1303","","","","","","increase light brightness",""
"passed","Thu Sep 03 19:21:03 UTC 2020","Thu Sep 03 19:21:05 UTC 2020","1271","","","","","","turn off switch",""
"passed","Thu Sep 03 19:21:15 UTC 2020","Thu Sep 03 19:21:16 UTC 2020","1292","","","","","","turn off light",""
"passed","Thu Sep 03 19:21:12 UTC 2020","Thu Sep 03 19:21:14 UTC 2020","1301","","","","","","decrease light brightness",""
"failed","Thu Sep 03 19:21:24 UTC 2020","Thu Sep 03 19:21:46 UTC 2020","21607","","","","","","add item",""
"passed","Thu Sep 03 19:20:56 UTC 2020","Thu Sep 03 19:20:58 UTC 2020","1285","","","","","","turn on switch",""
