"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 13:07:19 UTC 2020","Fri Sep 04 13:07:21 UTC 2020","1307","","","","","","turn off switch",""
"passed","Fri Sep 04 13:07:29 UTC 2020","Fri Sep 04 13:07:30 UTC 2020","1367","","","","","","decrease light brightness",""
"passed","Fri Sep 04 13:07:58 UTC 2020","Fri Sep 04 13:08:00 UTC 2020","1322","","","","","","set climate temperature",""
"passed","Fri Sep 04 13:07:08 UTC 2020","Fri Sep 04 13:07:11 UTC 2020","2991","","","","","","read sensor",""
"passed","Fri Sep 04 13:07:24 UTC 2020","Fri Sep 04 13:07:26 UTC 2020","1550","","","","","","set light brightness",""
"passed","Fri Sep 04 13:07:27 UTC 2020","Fri Sep 04 13:07:28 UTC 2020","1289","","","","","","increase light brightness",""
"passed","Fri Sep 04 13:08:01 UTC 2020","Fri Sep 04 13:08:02 UTC 2020","1268","","","","","","add item",""
"passed","Fri Sep 04 13:07:22 UTC 2020","Fri Sep 04 13:07:23 UTC 2020","1287","","","","","","turn on light",""
"passed","Fri Sep 04 13:07:17 UTC 2020","Fri Sep 04 13:07:18 UTC 2020","1318","","","","","","toggle on switch",""
"passed","Fri Sep 04 13:07:15 UTC 2020","Fri Sep 04 13:07:16 UTC 2020","1282","","","","","","toggle off switch",""
"passed","Fri Sep 04 13:07:12 UTC 2020","Fri Sep 04 13:07:14 UTC 2020","1269","","","","","","turn on switch",""
"passed","Fri Sep 04 13:07:31 UTC 2020","Fri Sep 04 13:07:32 UTC 2020","1311","","","","","","turn off light",""
"failed","Fri Sep 04 13:07:36 UTC 2020","Fri Sep 04 13:07:57 UTC 2020","21618","","","","","","tracker",""
"passed","Fri Sep 04 13:07:33 UTC 2020","Fri Sep 04 13:07:35 UTC 2020","1280","","","","","","triger automation",""
