"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 06:26:59 UTC 2020","Fri Sep 04 06:27:01 UTC 2020","1285","","","","","","set climate temperature",""
"passed","Fri Sep 04 06:26:52 UTC 2020","Fri Sep 04 06:26:54 UTC 2020","1307","","","","","","turn off light",""
"passed","Fri Sep 04 06:26:34 UTC 2020","Fri Sep 04 06:26:35 UTC 2020","1291","","","","","","turn on switch",""
"passed","Fri Sep 04 06:26:55 UTC 2020","Fri Sep 04 06:26:56 UTC 2020","1273","","","","","","triger automation",""
"failed","Fri Sep 04 06:27:02 UTC 2020","Fri Sep 04 06:27:23 UTC 2020","21607","","","","","","add item",""
"passed","Fri Sep 04 06:26:43 UTC 2020","Fri Sep 04 06:26:44 UTC 2020","1286","","","","","","turn on light",""
"passed","Fri Sep 04 06:26:50 UTC 2020","Fri Sep 04 06:26:51 UTC 2020","1291","","","","","","decrease light brightness",""
"passed","Fri Sep 04 06:26:39 UTC 2020","Fri Sep 04 06:26:40 UTC 2020","1269","","","","","","toggle on switch",""
"passed","Fri Sep 04 06:26:57 UTC 2020","Fri Sep 04 06:26:58 UTC 2020","1276","","","","","","tracker",""
"passed","Fri Sep 04 06:26:45 UTC 2020","Fri Sep 04 06:26:47 UTC 2020","1315","","","","","","set light brightness",""
"passed","Fri Sep 04 06:26:41 UTC 2020","Fri Sep 04 06:26:42 UTC 2020","1325","","","","","","turn off switch",""
"passed","Fri Sep 04 06:26:48 UTC 2020","Fri Sep 04 06:26:49 UTC 2020","1286","","","","","","increase light brightness",""
"passed","Fri Sep 04 06:26:31 UTC 2020","Fri Sep 04 06:26:33 UTC 2020","1848","","","","","","read sensor",""
"passed","Fri Sep 04 06:26:36 UTC 2020","Fri Sep 04 06:26:38 UTC 2020","1285","","","","","","toggle off switch",""
