"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 22:09:55 GMT 2021","Wed Sep 08 22:10:03 GMT 2021","8219","","","","","","turn off switch",""
"passed","Wed Sep 08 22:10:04 GMT 2021","Wed Sep 08 22:10:04 GMT 2021","347","","","","","","set light brightness",""
"passed","Wed Sep 08 22:10:25 GMT 2021","Wed Sep 08 22:10:25 GMT 2021","328","","","","","","add item",""
"passed","Wed Sep 08 22:09:50 GMT 2021","Wed Sep 08 22:09:53 GMT 2021","3548","","","","","","read sensor",""
"passed","Wed Sep 08 22:10:05 GMT 2021","Wed Sep 08 22:10:13 GMT 2021","7116","","","","","","turn off light",""
"passed","Wed Sep 08 22:10:24 GMT 2021","Wed Sep 08 22:10:25 GMT 2021","337","","","","","","set climate temperature",""
"passed","Wed Sep 08 22:09:54 GMT 2021","Wed Sep 08 22:09:55 GMT 2021","1024","","","","","","toggle on switch",""
"passed","Wed Sep 08 22:10:14 GMT 2021","Wed Sep 08 22:10:24 GMT 2021","10679","","","","","","tracker",""
"passed","Wed Sep 08 22:10:13 GMT 2021","Wed Sep 08 22:10:14 GMT 2021","1088","","","","","","triger automation",""
"passed","Wed Sep 08 22:10:05 GMT 2021","Wed Sep 08 22:10:05 GMT 2021","345","","","","","","decrease light brightness",""
"passed","Wed Sep 08 22:10:03 GMT 2021","Wed Sep 08 22:10:04 GMT 2021","757","","","","","","turn on light",""
"passed","Wed Sep 08 22:09:54 GMT 2021","Wed Sep 08 22:09:54 GMT 2021","392","","","","","","toggle off switch",""
"passed","Wed Sep 08 22:09:53 GMT 2021","Wed Sep 08 22:09:54 GMT 2021","385","","","","","","turn on switch",""
"passed","Wed Sep 08 22:10:04 GMT 2021","Wed Sep 08 22:10:05 GMT 2021","688","","","","","","increase light brightness",""
