"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 01 15:16:09 GMT 2021","Wed Sep 01 15:16:12 GMT 2021","2720","","","","","","turn on light",""
"failed","Wed Sep 01 15:16:19 GMT 2021","Wed Sep 01 15:16:39 GMT 2021","20606","","","","","","tracker",""
"passed","Wed Sep 01 15:16:02 GMT 2021","Wed Sep 01 15:16:02 GMT 2021","386","","","","","","turn on switch",""
"passed","Wed Sep 01 15:16:39 GMT 2021","Wed Sep 01 15:16:40 GMT 2021","337","","","","","","set climate temperature",""
"passed","Wed Sep 01 15:16:13 GMT 2021","Wed Sep 01 15:16:14 GMT 2021","1033","","","","","","decrease light brightness",""
"passed","Wed Sep 01 15:16:03 GMT 2021","Wed Sep 01 15:16:09 GMT 2021","5888","","","","","","turn off switch",""
"passed","Wed Sep 01 15:16:12 GMT 2021","Wed Sep 01 15:16:12 GMT 2021","417","","","","","","set light brightness",""
"passed","Wed Sep 01 15:16:14 GMT 2021","Wed Sep 01 15:16:15 GMT 2021","1011","","","","","","turn off light",""
"passed","Wed Sep 01 15:16:12 GMT 2021","Wed Sep 01 15:16:13 GMT 2021","621","","","","","","increase light brightness",""
"passed","Wed Sep 01 15:16:15 GMT 2021","Wed Sep 01 15:16:19 GMT 2021","4238","","","","","","triger automation",""
"passed","Wed Sep 01 15:16:02 GMT 2021","Wed Sep 01 15:16:02 GMT 2021","337","","","","","","toggle off switch",""
"passed","Wed Sep 01 15:16:02 GMT 2021","Wed Sep 01 15:16:03 GMT 2021","689","","","","","","toggle on switch",""
"passed","Wed Sep 01 15:15:55 GMT 2021","Wed Sep 01 15:16:02 GMT 2021","6384","","","","","","read sensor",""
"passed","Wed Sep 01 15:16:40 GMT 2021","Wed Sep 01 15:16:40 GMT 2021","323","","","","","","add item",""
