"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 03 15:44:29 UTC 2020","Thu Sep 03 15:44:30 UTC 2020","1285","","","","","","turn off switch",""
"passed","Thu Sep 03 15:44:31 UTC 2020","Thu Sep 03 15:44:33 UTC 2020","1292","","","","","","turn on light",""
"passed","Thu Sep 03 15:44:27 UTC 2020","Thu Sep 03 15:44:28 UTC 2020","1285","","","","","","toggle on switch",""
"failed","Thu Sep 03 15:44:51 UTC 2020","Thu Sep 03 15:45:12 UTC 2020","21612","","","","","","add item",""
"passed","Thu Sep 03 15:44:22 UTC 2020","Thu Sep 03 15:44:24 UTC 2020","1281","","","","","","turn on switch",""
"passed","Thu Sep 03 15:44:48 UTC 2020","Thu Sep 03 15:44:50 UTC 2020","1295","","","","","","set climate temperature",""
"passed","Thu Sep 03 15:44:19 UTC 2020","Thu Sep 03 15:44:21 UTC 2020","1946","","","","","","read sensor",""
"passed","Thu Sep 03 15:44:25 UTC 2020","Thu Sep 03 15:44:26 UTC 2020","1282","","","","","","toggle off switch",""
"passed","Thu Sep 03 15:44:34 UTC 2020","Thu Sep 03 15:44:36 UTC 2020","2164","","","","","","set light brightness",""
"passed","Thu Sep 03 15:44:42 UTC 2020","Thu Sep 03 15:44:43 UTC 2020","1282","","","","","","turn off light",""
"passed","Thu Sep 03 15:44:37 UTC 2020","Thu Sep 03 15:44:38 UTC 2020","1306","","","","","","increase light brightness",""
"passed","Thu Sep 03 15:44:39 UTC 2020","Thu Sep 03 15:44:41 UTC 2020","1310","","","","","","decrease light brightness",""
"passed","Thu Sep 03 15:44:44 UTC 2020","Thu Sep 03 15:44:45 UTC 2020","1295","","","","","","triger automation",""
"passed","Thu Sep 03 15:44:46 UTC 2020","Thu Sep 03 15:44:47 UTC 2020","1265","","","","","","tracker",""
