2020-09-04 06:23:19.305 | INFO     |  8907 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2020-09-04 06:23:19.322 | INFO     |  8907 | mycroft.messagebus.client.client:on_open:114 | Connected
2020-09-04 06:23:19.340 | INFO     |  8907 | __main__:_start_message_bus_client:231 | Connected to messagebus
2020-09-04 06:23:19.353 | INFO     |  8907 | mycroft.skills.msm_wrapper:create_msm:90 | Acquiring lock to instantiate MSM
2020-09-04 06:23:19.354 | INFO     |  8907 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2020-09-04 06:23:21.105 | INFO     |  8907 | mycroft.skills.msm_wrapper:create_msm:106 | Releasing MSM instantiation lock.
2020-09-04 06:23:21.106 | INFO     |  8907 | mycroft.skills.skill_updater:_log_next_download_time:265 | Next scheduled skill update: 2020-09-04 06:23:20.105489
2020-09-04 06:23:21.106 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2020-09-04 06:23:21.600 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:21.612 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-pairing
2020-09-04 06:23:21.612 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:21.615 | INFO     |  8907 | mycroft.skills.skill_loader:load:161 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2020-09-04 06:23:21.624 | INFO     |  8907 | mycroft.skills.settings:get_local_settings:78 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2020-09-04 06:23:21.650 | INFO     |  8907 | mycroft.skills.skill_loader:_check_for_first_run:300 | First run of mycroft-pairing.mycroftai
2020-09-04 06:23:21.651 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2020-09-04 06:23:21.652 | INFO     |  8907 | mycroft.skills.skill_loader:_communicate_load_status:320 | Skill mycroft-pairing.mycroftai loaded successfully
2020-09-04 06:23:21.652 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2020-09-04 06:23:22.157 | INFO     |  8907 | msm.skill_entry | Installing system requirements...
2020-09-04 06:23:22.173 | INFO     |  8907 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2020-09-04 06:23:22.944 | INFO     |  8907 | msm.skill_entry | Successfully installed mycroft-volume
2020-09-04 06:23:22.944 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:22.945 | INFO     |  8907 | mycroft.skills.skill_loader:load:161 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2020-09-04 06:23:22.953 | INFO     |  8907 | mycroft.skills.settings:get_local_settings:78 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2020-09-04 06:23:23.020 | INFO     |  8907 | mycroft.skills.skill_loader:_check_for_first_run:300 | First run of mycroft-volume.mycroftai
2020-09-04 06:23:23.021 | INFO     |  8907 | mycroft.skills.settings:save_settings:111 | Skill settings successfully saved to /home/travis/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2020-09-04 06:23:23.025 | INFO     |  8907 | mycroft.skills.skill_loader:_communicate_load_status:320 | Skill mycroft-volume.mycroftai loaded successfully
2020-09-04 06:23:23.077 | INFO     |  8907 | __main__:_update_system:154 | Attempting system update...
2020-09-04 06:23:26.086 | INFO     |  8907 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2020-09-04 06:23:26.087 | INFO     |  8907 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2020-09-04 06:23:26.088 | INFO     |  8907 | __main__:on_ready:177 | Skill service is ready.
2020-09-04 06:23:26.090 | INFO     |  8907 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2020-09-04 06:23:26.454 | INFO     |  8907 | mycroft.skills.skill_manager:run:231 | Not all default skills are installed, performing skill update...
2020-09-04 06:23:26.455 | INFO     |  8907 | mycroft.skills.skill_updater:update_skills:147 | Beginning skill update...
2020-09-04 06:23:26.498 | INFO     |  8907 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2020-09-04 06:23:26.813 | INFO     |  8907 | msm.mycroft_skills_manager | invalidating skills cache
2020-09-04 06:23:26.849 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2020-09-04 06:23:26.861 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2020-09-04 06:23:26.880 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2020-09-04 06:23:26.896 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2020-09-04 06:23:26.906 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2020-09-04 06:23:26.927 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2020-09-04 06:23:26.932 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2020-09-04 06:23:26.971 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2020-09-04 06:23:26.977 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2020-09-04 06:23:26.979 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-reminder
2020-09-04 06:23:26.980 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2020-09-04 06:23:26.985 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2020-09-04 06:23:26.986 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2020-09-04 06:23:26.987 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2020-09-04 06:23:27.404 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2020-09-04 06:23:27.449 | INFO     |  8907 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
