"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 12:57:45 UTC 2020","Fri Sep 04 12:57:47 UTC 2020","1929","","","","","","read sensor",""
"passed","Fri Sep 04 12:58:25 UTC 2020","Fri Sep 04 12:58:26 UTC 2020","1291","","","","","","set climate temperature",""
"passed","Fri Sep 04 12:57:59 UTC 2020","Fri Sep 04 12:58:01 UTC 2020","2121","","","","","","set light brightness",""
"passed","Fri Sep 04 12:58:27 UTC 2020","Fri Sep 04 12:58:28 UTC 2020","1260","","","","","","add item",""
"passed","Fri Sep 04 12:58:07 UTC 2020","Fri Sep 04 12:58:08 UTC 2020","1273","","","","","","turn off light",""
"passed","Fri Sep 04 12:58:09 UTC 2020","Fri Sep 04 12:58:11 UTC 2020","1298","","","","","","triger automation",""
"passed","Fri Sep 04 12:57:48 UTC 2020","Fri Sep 04 12:57:49 UTC 2020","1278","","","","","","turn on switch",""
"passed","Fri Sep 04 12:57:55 UTC 2020","Fri Sep 04 12:57:56 UTC 2020","1294","","","","","","turn off switch",""
"passed","Fri Sep 04 12:57:57 UTC 2020","Fri Sep 04 12:57:58 UTC 2020","1266","","","","","","turn on light",""
"passed","Fri Sep 04 12:57:50 UTC 2020","Fri Sep 04 12:57:51 UTC 2020","1330","","","","","","toggle off switch",""
"passed","Fri Sep 04 12:57:53 UTC 2020","Fri Sep 04 12:57:54 UTC 2020","1285","","","","","","toggle on switch",""
"passed","Fri Sep 04 12:58:12 UTC 2020","Fri Sep 04 12:58:24 UTC 2020","12055","","","","","","tracker",""
"passed","Fri Sep 04 12:58:02 UTC 2020","Fri Sep 04 12:58:04 UTC 2020","1350","","","","","","increase light brightness",""
"passed","Fri Sep 04 12:58:05 UTC 2020","Fri Sep 04 12:58:06 UTC 2020","1300","","","","","","decrease light brightness",""
