"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 04 13:29:39 UTC 2020","Fri Sep 04 13:29:40 UTC 2020","1263","","","","","","turn on switch",""
"passed","Fri Sep 04 13:29:57 UTC 2020","Fri Sep 04 13:29:58 UTC 2020","1308","","","","","","turn off light",""
"passed","Fri Sep 04 13:29:55 UTC 2020","Fri Sep 04 13:29:56 UTC 2020","1304","","","","","","decrease light brightness",""
"passed","Fri Sep 04 13:30:04 UTC 2020","Fri Sep 04 13:30:05 UTC 2020","1298","","","","","","set climate temperature",""
"passed","Fri Sep 04 13:29:46 UTC 2020","Fri Sep 04 13:29:47 UTC 2020","1274","","","","","","turn off switch",""
"passed","Fri Sep 04 13:29:43 UTC 2020","Fri Sep 04 13:29:45 UTC 2020","1262","","","","","","toggle on switch",""
"passed","Fri Sep 04 13:29:41 UTC 2020","Fri Sep 04 13:29:42 UTC 2020","1295","","","","","","toggle off switch",""
"passed","Fri Sep 04 13:30:06 UTC 2020","Fri Sep 04 13:30:08 UTC 2020","1277","","","","","","add item",""
"passed","Fri Sep 04 13:29:36 UTC 2020","Fri Sep 04 13:29:38 UTC 2020","1817","","","","","","read sensor",""
"passed","Fri Sep 04 13:29:52 UTC 2020","Fri Sep 04 13:29:54 UTC 2020","1302","","","","","","increase light brightness",""
"passed","Fri Sep 04 13:29:59 UTC 2020","Fri Sep 04 13:30:01 UTC 2020","1328","","","","","","triger automation",""
"passed","Fri Sep 04 13:29:48 UTC 2020","Fri Sep 04 13:29:49 UTC 2020","1307","","","","","","turn on light",""
"passed","Fri Sep 04 13:30:02 UTC 2020","Fri Sep 04 13:30:03 UTC 2020","1323","","","","","","tracker",""
"passed","Fri Sep 04 13:29:50 UTC 2020","Fri Sep 04 13:29:51 UTC 2020","1314","","","","","","set light brightness",""
